C  O  N  T  R  O  L      D  E      M  A  Q  U  I  N  A  S      E  N      P  R  O  C  E  S  O,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Programa Producción,,2025-03-17 00:00:00,,,,,,,,P,Proceso,,,,,,,,,,,,,,,,,,,,,,,,
INDAVAL,,,,,,,,,,T,Terminado,,,,MUDAS EN MINUTOS,,,,,,,,,,,,,,,,,,,,
,MAQUINA,PRODUCTO,PROCESO,PESO,STD TURN,UND PROG,KG PROG,,HRS PRG,,UND FAB,,% PROG,HRS TRB,MATR,MTTO,F.L.,T.O,CALD,HRS EFE,% STD,OPERADOR,,OPERADOR,,OBSERVACIONES,,,,,,,,$,PRI
88,BANCO TREF,"Barra 3/4 a 18,8mm",TREFILAR,13.44,162,75,1008,,4.166666666666667,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
100,ESMERIL #1,PEINETA DISUASIVA         PUA 300    ,ESME PUA300,0.07,1620,990,69.30000000000001,,5.5,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
102,ESMERIL #1,PEINETA DISUASIVA         PUA 150,ESME PUA150,0.035,1620,450,15.750000000000002,,2.5,P,200,,0.4444444444444444,,,,,,,0,,,,,,,,,,,,,7.000000000000001,0,
9,EX #14,"Tirafondo Nº2, 7/8x149",REBARP,0.552,2547,1881,1038.3120000000001,,6.646643109540636,P,1000,,0.531632110579479,,,,,,,0,,,,,,,,,,,,,552.0,0,
31,EX #15,Eslabón Angular Estampado perf.18,REBARE,0.453,1530,450,203.85,,2.6470588235294117,P,555,,1.2333333333333334,,,,,,,0,,,,,,,,,,,,,251.41500000000002,0,
32,EX #15,Eslabón Angular Estampado perf.18,PERFRE,0.453,1440,450,203.85,,2.8125,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
33,EX #15,Eslabón Angular Estampado perf.18,PERFOV,0.453,1440,450,203.85,,2.8125,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
11,LAMIN TIR,"Tirafondo Nº2, 7/8x149",LAMINAR,0.552,1989,1881,1038.3120000000001,,8.51131221719457,T,1550,,0.8240297713981924,,,,,,,0,,,,,,,,,,,,,855.6,2000,
19,MAQ LASER,Soporte Susp. p/DAC Preensamblado,CORTAR,0.34,1422,285,96.9,,1.8037974683544304,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
103,MIG #1,PEINETA DISUASIVA         10004697 1 X 1    ,SOLDAR,2.72,45,45,122.4,,9,T,40,,0.8888888888888888,,,,,,,0,,,,,,,,,,,,,108.80000000000001,6461,
60,MIG #2,ESPACIADOR DE LINEA B.T.  50 x 35 x 5 - 6 VI,SOLDAR,12,36,36,432,,9,T,,,0,,,,,,,0,,,,,,,,,,,,,0.0,2978,
8,PF #12,"Tirafondo Nº2, 7/8x149",ESTAMC,0.552,1881,1881,1038.3120000000001,,9,P,1548,,0.8229665071770335,,,,,,,0,,,,,,,,,,,,,854.4960000000001,0,
27,PF #13,Soporte Extension ADSS GV 240x50x8MM,ESTAMC,0.58,504,504,292.32,,9,T,,,0,,,,,,,0,,,,,,,,,,,,,0.0,2500,
20,PF #2,Soporte Susp. p/DAC Preensamblado,ACANAL,0.34,1800,1200,408.00000000000006,,6,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
34,PF #2,Eslabón Angular Estampado perf.18,DOBLAF,0.453,3447,450,203.85,,1.174934725848564,T,,,0,,,,,,,0,,,,,,,,,,,,,0.0,2600,
49,PF #2,"Espiga 3/4x155x210 caps.1"" Poliamida",ESTRIA,0.507,2070,200,101.4,,0.8695652173913043,T,213,,1.065,,,,,,,0,,,,,,,,,,,,,107.991,6460,
13,PF #4,"Grillete recto 14mm, perf.18",ESTAC1,0.322,1332,765,246.33,,5.168918918918919,P,146,,0.19084967320261437,,,,,,,0,,,,,,,,,,,,,47.012,0,
14,PF #4,"Grillete recto 14mm, perf.18",ESTAC2,0.322,1458,540,173.88,,3.3333333333333335,P,770,,1.4259259259259258,,,,,,,0,,,,,,,,,,,,,247.94,0,
75,PF #5,Perno Cab Cuad 5/8x2.1/2,ESTAMC,0.148,1485,1485,219.78,,9,P,655,,0.44107744107744107,,,,,,,0,,,,,,,,,,,,,96.94,0,
90,PF #6,Perno Hex Cte 1/2x7x4A,ESTAMC,0.18,1485,450,81,,2.727272727272727,P,773,,1.7177777777777778,,,,,,,0,,,,,,,,,,,,,139.14,0,
62,PF #6,Perno riel FFCC BCY 7/8x115,ESTAMC,0.445,1215,615,273.675,,4.555555555555555,P,100,,0.16260162601626016,,,,,,,0,,,,,,,,,,,,,44.5,0,
92,PUNT ARC,Perno Hex Cte 1/2x7x4A,PUNTEAR,0.18,2700,700,126,,2.3333333333333335,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
87,PUNT BARRA,Barra 3/4 1020,PUBARR,13.44,216,75,1008,,3.125,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
10,PUNT TIR,"Tirafondo Nº2, 7/8x149",PUTIR,0.552,1800,1800,993.6000000000001,,9,P,1800,,1,,,,,,,0,,,,,,,,,,,,,993.6000000000001,0,
48,PUNT2CAB,"Espiga 3/4x155x210 caps.1"" Poliamida",REBAJA,0.507,1350,150,76.05,,1,P,160,,1.0666666666666667,,,,,,,0,,,,,,,,,,,,,81.12,0,
91,REBTOR,Perno Hex Cte 1/2x7x4A,REBARP,0.18,1620,700,126,,3.888888888888889,P,1020,,1.457142857142857,,,,,,,0,,,,,,,,,,,,,183.6,0,
93,TERR #2,Perno Hex Cte 1/2x7x4A,TERRAJAR,0.18,1035,700,126,,6.086956521739131,T,,,0,,,,,,,0,,,,,,,,,,,,,0.0,2122,
74,TIJERA #1,Perno Cab Cuad 5/8x2.1/2,CORTAR,0.148,4950,1500,222,,2.727272727272727,P,500,,0.3333333333333333,,,,,,,0,,,,,,,,,,,,,74.0,0,
99,TIJERA #1,PEINETA DISUASIVA         PUA 300    ,CORT PUA300,0.07,5400,1500,105.00000000000001,,2.5,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
7,TIJERA #2,"Tirafondo Nº2, 7/8x149",CORTAR,0.552,4590,2000,1104,,3.9215686274509802,P,2255,,1.1275,,,,,,,0,,,,,,,,,,,,,1244.76,0,
