C  O  N  T  R  O  L      D  E      M  A  Q  U  I  N  A  S      E  N      P  R  O  C  E  S  O,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Programa Producción,,2025-03-18 00:00:00,,,,,,,,P,Proceso,,,,,,,,,,,,,,,,,,,,,,,,
INDAVAL,,,,,,,,,,T,Terminado,,,,MUDAS EN MINUTOS,,,,,,,,,,,,,,,,,,,,
,MAQUINA,PRODUCTO,PROCESO,PESO,STD TURN,UND PROG,KG PROG,,HRS PRG,,UND FAB,,% PROG,HRS TRB,MATR,MTTO,F.L.,T.O,CALD,HRS EFE,% STD,OPERADOR,,OPERADOR,,OBSERVACIONES,,,,,,,,$,PRI
88,BANCO TREF,"Barra 3/4 a 18,8mm",TREFILAR,13.44,162,75,1008,,4.166666666666667,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
100,ESMERIL #1,PEINETA DISUASIVA         PUA 300    ,ESME PUA300,0.07,1620,990,69.30000000000001,,5.5,P,80,,0.08080808080808081,,,,,,,0,,,,,,,,,,,,,5.6000000000000005,0,
102,ESMERIL #1,PEINETA DISUASIVA         PUA 150,ESME PUA150,0.035,1620,450,15.750000000000002,,2.5,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
9,EX #14,"Tirafondo Nº2, 7/8x149",REBARP,0.552,2547,1681,927.912,,5.939929328621908,P,1160,,0.6900654372397382,,,,,,,0,,,,,,,,,,,,,640.32,0,
63,EX #14,Perno riel FFCC BCY 7/8x115,REBARP,0.445,2547,615,273.675,,2.1731448763250882,P,627,,1.0195121951219512,,,,,,,0,,,,,,,,,,,,,279.015,0,
76,EX #14,Perno Cab Cuad 5/8x2.1/2,REBARP,0.148,4005,655,96.94,,1.4719101123595506,P,650,,0.9923664122137404,,,,,,,0,,,,,,,,,,,,,96.19999999999999,0,
32,EX #15,Eslabón Angular Estampado perf.18,PERFRE,0.453,1440,550,249.15,,3.4375,P,555,,1.009090909090909,,,,,,,0,,,,,,,,,,,,,251.41500000000002,0,
33,EX #15,Eslabón Angular Estampado perf.18,PERFOV,0.453,1440,550,249.15,,3.4375,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
37,EX #15,PEINETA DISUASIVA         PLET 25X5X210    ,PERF 25X5,0.0218,2700,750,16.35,,2.5,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
15,EX #17,"Grillete recto 14mm, perf.18",REBARE,0.322,2160,770,247.94,,3.2083333333333335,P,50,,0.06493506493506493,,,,,,,0,,,,,,,,,,,,,16.1,0,
38,EX #17,PEINETA DISUASIVA         PLET 25X5X210    ,DOBL 25X5,0.0218,1350,750,16.35,,5,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
11,LAMIN TIR,"Tirafondo Nº2, 7/8x149",LAMINAR,0.552,1989,1881,1038.3120000000001,,8.51131221719457,T,1550,,0.8240297713981924,,,,,,,0,,,,,,,,,,,,,855.6,2000,
