C  O  N  T  R  O  L      D  E      M  A  Q  U  I  N  A  S      E  N      P  R  O  C  E  S  O,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Programa Producción,,2025-03-19 00:00:00,,,,,,,,P,Proceso,,,,,,,,,,,,,,,,,,,,,,,,
INDAVAL,,,,,,,,,,T,Terminado,,,,MUDAS EN MINUTOS,,,,,,,,,,,,,,,,,,,,
,MAQUINA,PRODUCTO,PROCESO,PESO,STD TURN,UND PROG,KG PROG,,HRS PRG,,UND FAB,,% PROG,HRS TRB,MATR,MTTO,F.L.,T.O,CALD,HRS EFE,% STD,OPERADOR,,OPERADOR,,OBSERVACIONES,,,,,,,,$,PRI
88,BANCO TREF,"Barra 3/4 a 18,8mm",TREFILAR,13.44,162,75,1008,,4.166666666666667,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
100,ESMERIL #1,PEINETA DISUASIVA         PUA 300    ,ESME PUA300,0.07,1620,990,69.30000000000001,,5.5,P,700,,0.7070707070707071,,,,,,,0,,,,,,,,,,,,,49.00000000000001,0,
102,ESMERIL #1,PEINETA DISUASIVA         PUA 150,ESME PUA150,0.035,1620,450,15.750000000000002,,2.5,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
9,EX #14,"Tirafondo Nº2, 7/8x149",REBARP,0.552,2547,1681,927.912,,5.939929328621908,P,2064,,1.2278405710886378,,,,,,,0,,,,,,,,,,,,,1139.3280000000002,0,
116,EX #14,Perno riel FFCC BCY 7/8x115,REBARP,0.445,2547,965,429.425,,3.409893992932862,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
16,EX #15,"Grillete recto 14mm, perf.18",PERFOR,0.322,2025,1465,471.73,,6.511111111111111,P,486,,0.331740614334471,,,,,,,0,,,,,,,,,,,,,156.492,0,
33,EX #15,Eslabón Angular Estampado perf.18,PERFOV,0.453,1440,350,158.55,,2.1875,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
15,EX #17,"Grillete recto 14mm, perf.18",REBARE,0.322,2160,1415,455.63,,5.895833333333333,P,1005,,0.7102473498233216,,,,,,,0,,,,,,,,,,,,,323.61,0,
11,LAMIN TIR,"Tirafondo Nº2, 7/8x149",LAMINAR,0.552,1989,1881,1038.3120000000001,,8.51131221719457,T,1300,,0.6911217437533227,,,,,,,0,,,,,,,,,,,,,717.6,2000,
103,MIG #1,PEINETA DISUASIVA         10004697 1 X 1    ,SOLDAR,2.72,45,45,122.4,,9,T,23,,0.5111111111111111,,,,,,,0,,,,,,,,,,,,,62.56,6461,
60,MIG #2,ESPACIADOR DE LINEA B.T.  50 x 35 x 5 - 6 VI,SOLDAR,12,36,36,432,,9,T,25,,0.6944444444444444,,,,,,,0,,,,,,,,,,,,,300.0,2978,
17,PF #11,"Grillete recto 14mm, perf.18",PLANCHAR,0.322,1845,1465,471.73,,7.146341463414634,P,110,,0.07508532423208192,,,,,,,0,,,,,,,,,,,,,35.42,0,
8,PF #12,"Tirafondo Nº2, 7/8x149",ESTAMC,0.552,1881,1881,1038.3120000000001,,9,P,1459,,0.7756512493354598,,,,,,,0,,,,,,,,,,,,,805.368,0,
27,PF #13,Soporte Extension ADSS GV 240x50x8MM,ESTAMC,0.58,504,504,292.32,,9,T,,,0,,,,,,,0,,,,,,,,,,,,,0.0,2500,
13,PF #4,"Grillete recto 14mm, perf.18",ESTAC1,0.322,1332,309,99.498,,2.0878378378378377,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
14,PF #4,"Grillete recto 14mm, perf.18",ESTAC2,0.322,1458,695,223.79,,4.290123456790123,P,330,,0.4748201438848921,,,,,,,0,,,,,,,,,,,,,106.26,0,
18,PF #5,"Grillete recto 14mm, perf.18",FORJAR,0.322,774,545,175.49,,6.337209302325581,T,180,,0.3302752293577982,,,,,,,0,,,,,,,,,,,,,57.96,2881,
115,PF #6,Perno riel FFCC BCY 7/8x115,ESTAMC,0.445,1215,965,429.425,,7.148148148148148,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
117,PUNT ARC,Perno riel FFCC BCY 7/8x115,PUNTEAR,0.445,2520,350,155.75,,1.25,P,363,,1.0371428571428571,,,,,,,0,,,,,,,,,,,,,161.535,0,
87,PUNT BARRA,Barra 3/4 1020,PUBARR,13.44,216,75,1008,,3.125,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
10,PUNT TIR,"Tirafondo Nº2, 7/8x149",PUTIR,0.552,1800,1800,993.6000000000001,,9,P,806,,0.4477777777777778,,,,,,,0,,,,,,,,,,,,,444.91200000000003,0,
124,SIERRA CIRC,VIGA IPE                  200x3500mm GV     ,CORTAR,83.9,18,9,755.1,,4.5,T,9,,1,,,,,,,0,,,,,,,,,,,,,755.1,2400,
78,TERR #1,Perno Cab Cuad 5/8x2.1/2,TERRAJAR,0.148,1575,650,96.19999999999999,,3.7142857142857144,T,,,0,,,,,,,0,,,,,,,,,,,,,0.0,2385,
65,TERR #4,Perno riel FFCC BCY 7/8x115,TERRAJAR,0.445,873,218,97.01,,2.247422680412371,T,226,,1.036697247706422,,,,,,,0,,,,,,,,,,,,,100.57000000000001,3000,
118,TERR #4,Perno riel FFCC BCY 7/8x115,TERRAJAR,0.445,873,650,289.25,,6.701030927835052,T,8,,0.012307692307692308,,,,,,,0,,,,,,,,,,,,,3.56,3000,
101,TIJERA #1,PEINETA DISUASIVA         PUA 150,CORT PUA150,0.035,5400,1200,42.00000000000001,,2,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
7,TIJERA #2,"Tirafondo Nº2, 7/8x149",CORTAR,0.552,4590,2000,1104,,3.9215686274509802,P,1682,,0.841,,,,,,,0,,,,,,,,,,,,,928.464,0,
66,TIJERA #2,Perno Talón Aguja DJKZ  1xM305   1045,CORTAR,1.467,3150,150,220.05,,0.42857142857142855,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
109,TIJERA #2,Perno riel FFCC KJX 1x140,CORTAR,0.72,4230,1000,720,,2.127659574468085,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
75,PF #5,Perno Cab Cuad 5/8x2.1/2,ESTAMC,0.148,1485,480,71.03999999999999,,2.909090909090909,P,400,,0.8333333333333334,,,,,,,0,,,,,,,,,,,,,59.199999999999996,0,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
PRODUCCIÓN  NO PROGRAMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,$ KG,
,,PRODUCTO,CANTIDAD,PESO,TOTAL,$/KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE PRODUCCIÓN DIARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resumen,,,,,,,% CUMPLIMIENTO PROGRAMA DIARIO,,,,,,,,,,,,,,,,,,,,,,,,% PROMEDIO ACUMULADO,,,,
