C  O  N  T  R  O  L      D  E      M  A  Q  U  I  N  A  S      E  N      P  R  O  C  E  S  O,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Programa Producción,,2025-03-21 00:00:00,,,,,,,,P,Proceso,,,,,,,,,,,,,,,,,,,,,,,,
INDAVAL,,,,,,,,,,T,Terminado,,,,MUDAS EN MINUTOS,,,,,,,,,,,,,,,,,,,,
,MAQUINA,PRODUCTO,PROCESO,PESO,STD TURN,UND PROG,KG PROG,,HRS PRG,,UND FAB,,% PROG,HRS TRB,MATR,MTTO,F.L.,T.O,CALD,HRS EFE,% STD,OPERADOR,,OPERADOR,,OBSERVACIONES,,,,,,,,$,PRI
88,BANCO TREF,"Barra 3/4 a 18,8mm",TREFILAR,13.44,162,75,1008,,4.166666666666667,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
41,ESMERIL #1,PEINETA DISUASIVA         PUA 300    ,ESME PUA300,0.07,1620,990,69.30000000000001,,5.5,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
43,ESMERIL #1,PEINETA DISUASIVA         PUA 150,ESME PUA150,0.035,1620,450,15.750000000000002,,2.5,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
9,EX #14,"Tirafondo Nº2, 7/8x149",REBARP,0.552,2547,1581,872.7120000000001,,5.586572438162544,P,1710,,1.081593927893738,,,,,,,0,,,,,,,,,,,,,943.9200000000001,0,
106,EX #14,Perno riel FFCC JDZ 1x130,REBARP,0.685,2547,283,193.85500000000002,,1,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
116,EX #14,Perno riel FFCC BCY 7/8x115,REBARP,0.445,2547,407,181.115,,1.4381625441696113,P,286,,0.7027027027027027,,,,,,,0,,,,,,,,,,,,,127.27,0,
37,EX #15,PEINETA DISUASIVA         PLET 25X5X210    ,PERF 25X5,0.0218,2700,1000,21.8,,3.3333333333333335,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
38,EX #17,PEINETA DISUASIVA         PLET 25X5X210    ,DOBL 25X5,0.0218,1350,650,14.17,,4.333333333333333,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
11,LAMIN TIR,"Tirafondo Nº2, 7/8x149",LAMINAR,0.552,1989,1650,910.8000000000001,,7.46606334841629,T,1500,,0.9090909090909091,,,,,,,0,,,,,,,,,,,,,828.0000000000001,2000,
44,MIG #1,PEINETA DISUASIVA         10004698 1 X 1    ,SOLDAR,2.65,45,40,106,,8,T,,,0,,,,,,,0,,,,,,,,,,,,,0.0,6805,
60,MIG #2,ESPACIADOR DE LINEA B.T.  50 x 35 x 5 - 6 VI,SOLDAR,12,36,32,384,,8,T,35,,1.09375,,,,,,,0,,,,,,,,,,,,,420.0,2978,
