ITEM ,CÓD-MAQ,MAQUINA,SUMA OT,ORDEN
1,1001-TIJ01 ,TIJERA - 01,0,
2,1002-TIJ02 ,TIJERA - 02,0,
3,1003-TIJ03 ,TIJERA UNIVERSAL,0,
4,1201-PFR01,PRENSA FR - 01,0,A
5,1202-PFR02,PRENSA FR - 02,0,B
6,ESTUF_F02,ESTUF_F02,0,
7,1203-PFR03,PRENSA FR - 03,1,C
8,ESTUF_F03,ESTUF_F03,0,
9,1204-PFR04,PRENSA FR - 04,2,D
10,1205-PFR05,PRENSA FR - 05,1,E
11,ELECF-05,ELECF-05,0,
12,1206-PFR06,PRENSA FR - 06,0,F
13,ELECF-06,ELECF-06,0,
14,1207-PFR07,PRENSA FR - 07,0,G
15,ELECF-07,ELECF-07,0,
16,1208-PFR08 ,PRENSA FR - 08,0,
17,1209-PFR09 ,PRENSA FR - 09,0,
18,1210-PFR10,PRENSA FR - 10,0,H
19,1211-PFR11,PRENSA FR - 11,1,I
20,1212-PFR12,PRENSA FR - 12,0,J
21,ESTUF_F12,ESTUF_F12,0,
22,1305-PR05,PR - 05,0,K
23,1306-PR06,PR - 06,0,L
24,1311-PEX11,PRENSA EX - 11,1,M
25,1312-PELS,PRENSA EX - 12,0,N
26,1313-PEX13,PRENSA EX - 13,1,O
27,1314-PEX14,PRENSA EX - 14,2,P
28,1315-PEX15,PRENSA EX - 15,6,Q
29,1402-FAM02 ,FAMAE - 02,3,
30,1403-FAM03,FAMAE - 03,0,
31,1431-REBAR,TORTUGA,0,
32,1600-PU2CA,PUNT 2 CAB,1,
33,1601-PUPER,PUNT PER,4,
34,1611-PUCLA,PUNTEADORA CLAVOS,0,
35,1621-PUTIR,PUNT TIRAFONDOS,0,
36,1811-LATIR,LAMIN TIRAFONDO,0,
37,ESTUF_LATIR,ESTUF_LAMIN,0,
38,1835-LAZUR,LAMIN ZURZOLO,1,
39,2001-TER01 ,TERR PER - 01,0,
40,2002-TER02 ,TERR PER - 02,0,
41,2003-TER03,TERR PER - 03,3,
42,2004-TER04 ,TERR PER - 04,1,
43,2005-TER05 ,TERR PER - 05,1,
44,2006-TER06,TERR PER - 06,0,
45,2007-TER07,TERR PER - 07,0,
46,2008-TER08,TERR PER - 08,0,
47,2303-TERTUE,TERRAJADORA TUERCAS,0,
48,2601-AVETUE,AVELLANADORA TUERCAS,0,
49,2501-TDR01,TALADRO - 01,0,
50,2501-TDR02,TDR BAUKER,0,
51,2401-RBTUE,REBARBADORA TUERCAS,0,
52,2701-PELTZ,PELTZER - 01,0,R
53,2702-PELTZ,PELTZER - 02,0,S
54,3421-SOLD,SOLDADO,0,
55,3601-CORPU,CORTADORA PUNTAS,0,
56,3801-TORPR,TORNO PRODUCCION,0,
57,4201-SIECIR ,SIERRA CIRCULAR,0,
58,4221-SIERR,INGLETADORA,0,
59,4401-HOR01,HORNO - 01,0,
60,6018-ZINCAR,ZINCADO,0,
61,6022-EMPL,EMPLOMADO,0,
