Unnamed: 0,PRODUCTO,OT REFERENCIA,CODIGO,PESO,MATERIA PRIMA,PROCESO FINAL,PESO ARMADO ,FAMILIA,MAQUINA,ETAPA,STD,N° ETAPA
Abrazadera 1/2x10.1/2CORTAR,Abrazadera 1/2x10.1/2,34419.0,7003216101-2,0.72,1020 1/2,,0.72,ABRAZADERAS  GV F,TIJERA UNIVERSAL,CORTAR,,
Abrazadera 1/2x10.1/2DOBLAR,Abrazadera 1/2x10.1/2,34419.0,7003216101-2,0.72,1020 1/2,,0.72,ABRAZADERAS  GV F,PRENSA FR - 07,DOBLAR,250.0,
Abrazadera 1/2x10.1/2PUNTEAR,Abrazadera 1/2x10.1/2,34419.0,7003216101-2,0.72,1020 1/2,,0.72,ABRAZADERAS  GV F,PUNT PER,PUNTEAR,,
Abrazadera 1/2x10.1/2TERRAJAR,Abrazadera 1/2x10.1/2,34419.0,7003216101-2,0.72,1020 1/2,T,0.72,ABRAZADERAS  GV F,TERR PER - 02,TERRAJAR,,
Abrazadera 1/2x13,Abrazadera 1/2x13,34664.0,7003216059-8,0.9,1020 1/2,,0.9,ABRAZADERAS  GV F,,,,
Abrazadera 1/2x9.1/2,Abrazadera 1/2x9.1/2,34382.0,7003216051-2,0.605,1020 1/2,,0.605,ABRAZADERAS  GV F,,,,
Abrazadera 1/2x12.1/2,Abrazadera 1/2x12.1/2,35782.0,7003216076-8,0.88,,,0.88,ABRAZADERAS  GV F,,,,
Abrazadera 5/8x10.1/2,Abrazadera 5/8x10.1/2,34864.0,7003220101-4,1.2,1020 5/8,,1.2,ABRAZADERAS  GV F,,,,
Abrazadera 5/8x9.1/2,Abrazadera 5/8x9.1/2,34423.0,7003220051-4,0.995,1020 5/8,,0.995,ABRAZADERAS  GV F,,,,
Abrazadera 5/8x390,Abrazadera 5/8x390,37810.0,7003200305-0,1.54,,,1.54,ABRAZADERAS  GV F,,,,
Abrazadera Curva 1/2x8x5.1/2,Abrazadera Curva 1/2x8x5.1/2,36150.0,7003200080-9,0.5486,,,0.5486,ABRAZADERAS  GV F,,,,
Abrazadera Curva BT 5/8x8,Abrazadera Curva BT 5/8x8,38354.0,7003220096-4,1.125,,,1.125,ABRAZADERAS  GV F,,,,
Abrazadera Curva AT 5/8x8.1/2,Abrazadera Curva AT 5/8x8.1/2,35293.0,7003220096-4,1.125,1020 5/8,,1.125,ABRAZADERAS  GV F,,,,
Abrazadera p/Cruceta 1/2x280x127x65,Abrazadera p/Cruceta 1/2x280x127x65,35789.0,7003216077-6,0.52,,,0.52,ABRAZADERAS  GV F,,,,
Abrazadera p/Cruceta 1/2x400x324x127,Abrazadera p/Cruceta 1/2x400x324x127,35785.0,7003216075-K,1.0,,,1.0,ABRAZADERAS  GV F,,,,
Abrazadera p/Cruceta 1/2x410x370x127,Abrazadera p/Cruceta 1/2x410x370x127,35794.0,7003216078-4,1.156,,,1.156,ABRAZADERAS  GV F,,,,
Abrazadera p/Cruceta Paso Esp 1/2x280x335x127,Abrazadera p/Cruceta Paso Esp 1/2x280x335x127,35858.0,7003200140-6,0.944,,,0.944,ABRAZADERAS  GV F,,,,
Abrazadera p/Cruceta Paso Esp 5/8x280x335x127,Abrazadera p/Cruceta Paso Esp 5/8x280x335x127,35851.0,7003200150-3,1.371,,,1.371,ABRAZADERAS  GV F,,,,
Abrazadera p/Cruceta BT 5/8x9.1/2x8.1/4x6.1/2H,Abrazadera p/Cruceta BT 5/8x9.1/2x8.1/4x6.1/2H,38545.0,7003220052-2,0.995,,,0.995,ABRAZADERAS  GV F,,,,
Abrazadera U p/Cruceta 5/8x300x450x100H,Abrazadera U p/Cruceta 5/8x300x450x100H,38616.0,7003200300-K,1.995,,,1.995,ABRAZADERAS  GV F,,,,
Adaptador p/Espiga Punta Poste,Adaptador p/Espiga Punta Poste,34708.0,8721200110-2,1.29,,,1.29,OTROS PRODUCTOS GV F,,,,
Ancla 1x1,Ancla 1x1,34611.0,9821911140-1,0.077,,,0.077,OTROS PRODUCTOS NG C,,,,
Ancla Mural Tipo A,Ancla Mural Tipo A,36422.0,9821510100-2,0.38,,,0.38,OTROS PRODUCTOS GV C,,,,
Anclaje p/Tirante a Poste Mozo,Anclaje p/Tirante a Poste Mozo,33960.0,9821900620-9,2.35,,,2.35,OTROS PRODUCTOS GV F,,,,
Aletas p/Soporte Rack 32x5x97mm,Aletas p/Soporte Rack 32x5x97mm,36556.0,6000100020-1,0.1,,,0.1,OTROS PRODUCTOS GV F,,,,
Aletas p/Soporte de Paso 8 Aletas 38x5x105mm,Aletas p/Soporte de Paso 8 Aletas 38x5x105mm,36030.0,6000100025-2,0.136,,,0.136,OTROS PRODUCTOS GV F,,,,
Arranque 38x5x427,Arranque 38x5x427,34769.0,9821911130-4,0.627,,,0.627,OTROS PRODUCTOS GV F,,,,
Barra Lisa Tomatierra 1/2x7000,Barra Lisa Tomatierra 1/2x7000,34890.0,7405216100-6,6.95,,,6.95,OTROS PRODUCTOS GV F,,,,
"Barra Ojo 3/4x2,40mtrs","Barra Ojo 3/4x2,40mtrs",34551.0,7400200310-8,5.8,,,5.8,BARRAS OJO GV C,,,,
"Barra Ojo 3/4x3,20mtrs","Barra Ojo 3/4x3,20mtrs",34935.0,7400200312-4,7.5,,,7.5,BARRAS OJO GV C,,,,
Barra Ojo 5/8x1.30mtrs,Barra Ojo 5/8x1.30mtrs,35505.0,7401200008-5,2.6,,,2.6,BARRAS OJO GV C,,,,
