Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
,,,
,,,
,,,
,N°,PROCEDIMIENTOS,
,1,PROCEDIMIENTO OPERACION SIERRA HUINCHA,https://docs.google.com/document/d/15HafU9YTrkm8njYk4Vyq8-X-QaEi9pd2/edit?usp=sharing&ouid=117510313714300554241&rtpof=true&sd=true
,2,PROCEDIMIENTO OPERACIÓN PRENSA CHINA N°2,https://docs.google.com/document/d/1KibZHNIXczBBrZKHPCmlmniq0LS_G-8u/edit?usp=sharing&ouid=117510313714300554241&rtpof=true&sd=true
,3,PROCEDIMIENTO OPERACION INYECTORA DE PLASTICO KT-600-DM,https://docs.google.com/document/d/1r3_lc4FKL94-9vpL3mcRHU7Zx7EWUeH4/edit?usp=sharing&ouid=117510313714300554241&rtpof=true&sd=true
,4,PROCEDIMIENTO DE PREVENCIÓN DE RIESGOS OPERACIONALES PLEGADORA CNC,https://docs.google.com/document/d/1vqzIXY3ksEssEe5u-qW3kuDUAP3s7EB2/edit?usp=sharing&ouid=117510313714300554241&rtpof=true&sd=true
,5,PRENSA EXCENTRICA SHULER,https://docs.google.com/document/d/1A-jTSPjkFBNsq5175cYQTcKWx7dmEqOZ/edit?usp=sharing&ouid=117510313714300554241&rtpof=true&sd=true
,6,MECANICO DE MANTENCIÓN,https://docs.google.com/document/d/1hKt1gbdi6Brla6Rr47fyiQUWV-yCUbii/edit?usp=sharing&ouid=117510313714300554241&rtpof=true&sd=true
,7,GUILLOTINA,https://docs.google.com/document/d/1C-iPF6FZJ6f3ZNu5y2jNymllBoPk32i0/edit?usp=sharing&ouid=117510313714300554241&rtpof=true&sd=true
,8,ESMERIL DE PEDESTAL,https://docs.google.com/document/d/1hty2PEXrVXtt3mf59vUvvhapCtbPcrHl/edit?usp=sharing&ouid=117510313714300554241&rtpof=true&sd=true
,9,PROCEDIMIENTO DE PREVENCIÓN DE RIESGOS MAQUINA LASSER,https://docs.google.com/document/d/1W2QXI-nKGXvnz3W4bJnYOX7CCOib1BOu/edit?usp=sharing&ouid=117510313714300554241&rtpof=true&sd=true
,10,PROCEDIMIENTO DE OPERACION EN MARTINETE,https://docs.google.com/document/d/1qIPTpnCgTQzI7LZwf4_lDF1HiQPGPq-8/edit?usp=sharing&ouid=117510313714300554241&rtpof=true&sd=true
,11,PROCEDIMIENTO DE OPERACION CON HERRAMIENTAS Y EQUIPOS CON PARTES MOVILES,https://docs.google.com/document/d/14syOCcJ2Lc9ho3OmAK48pvbppROHx15p/edit?usp=sharing&ouid=117510313714300554241&rtpof=true&sd=true
,12,PROCEDIMIENTO OPERACION TIJERA PELS,https://docs.google.com/document/d/1z5oreuXQ_mVutqYvDG58nXlGWoPEvB6U/edit?usp=sharing&ouid=117510313714300554241&rtpof=true&sd=true
,13,PROCEDIMIENTO OPERACION PRENSA EXCENTRICA WEINGARTEN,https://docs.google.com/document/d/1SGxcGXxBh77XI2Hgjor9PMJIrnK2o_jp/edit?usp=sharing&ouid=117510313714300554241&rtpof=true&sd=true
,14,PROCEDIMIENTO OPERACION PRENSA EXCENTRICA BLISS,https://docs.google.com/document/d/13G0PRySAJqpB9PDz_EBfLR6N2M0i2RFf/edit?usp=sharing&ouid=117510313714300554241&rtpof=true&sd=true
